LfNr;Datum;Zeit;WoTag;Straﬂenklasse;Straﬂennummer;Gemeinde;Strasse;Tˆdlich verletzt;Schwer verletzt;Leicht verletzt;Anzahl Beteiligte;VU-Art;Charakteristik1 VU-Stelle;Charakteristik2 VU-Stelle;Besonderheit1 VU-Stelle;Besonderheit2 VU-Stelle;Besonderheit3 VU-Stelle;LZA;VU-Kategorie;VU-Typ;Unter-Typ;VU-Ursache Verursacher;2.VU-Ursache Verursacher;VU-Ursache 2. Beteiligter;2.VU-Ursache 2. Beteiligter;Allgmeine Ursache Verursacher;Verkehrsbeteiligung Verursacher;Verkehrsbeteiligung 2. Beteiligter;Jahr;Monat;Tag;Lichtverh‰ltnisse;Straﬂenzustand;Verursacher;Bet_02;Unfall-Typ;Fahrtrichtung;Koord.x;Koord.y
353; 22.09.2021; 10:00; Mi;5;; Oldenburg (Oldb); Bloherfelder Straﬂe;0;0;1;2;6;;;;;;;3;6;673;67;;;;;84;71;2021;9;22; he; tr; FG; RF; LV;;8,167845;53,14142
354; 22.09.2021; 10:30; Mi;3;865; Oldenburg (Oldb); Am Stadtmuseum;0;0;1;2;5;1;;0;9;;8;3;2;243;34;;;;;21;72;2021;9;22; he; tr; PKW; RF; AB; aufsteigend;8,214287;53,143411
355; 23.09.2021; 07:44; Do;5;; Oldenburg (Oldb); Auguststraﬂe;0;0;1;2;6;;;5;9;;;3;4;401;64;;;;;81;71;2021;9;23; he; tr; FG; RF; ‹S;;8,203634;53,142082
356; 24.09.2021; 16:30; Fr;5;; Oldenburg (Oldb); Hochhauser Straﬂe;0;0;0;2;1;;;;;;;5;5;502;49;;;;;71;21;2021;9;24; he; tr; RF; PKW; RV;;8,206982;53,148793
357; 24.09.2021; 18:00; Fr;5;; Oldenburg (Oldb); Katharinenstraﬂe;0;0;1;1;0;;;;;;;3;7;799;49;;;;;71;;2021;9;24; he; tr; RF; -; SO;;8,20573;53,143786
358; 24.09.2021; 18:45; Fr;5;; Oldenburg (Oldb); Straﬂburger Straﬂe;0;0;1;2;4;;;0;9;;;3;6;681;10;;;;;5;72;2021;9;24; he; tr; KRD; RF; LV; aufsteigend;8,225993;53,147126
359; 25.09.2021; 16:15; Sa;5;; Oldenburg (Oldb); Leuchtenburger Straﬂe;0;0;1;2;5;2;;;;;;3;3;321;27;;;;;71;21;2021;9;25; he; tr; RF; PKW; EK; aufsteigend;8,189499;53,188291
360; 25.09.2021; 17:55; Sa;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;2;;9;;;;3;3;342;28;;;;;21;72;2021;9;25; he; na; PKW; RF; EK; absteigend;8,206785;53,16149
361; 26.09.2021; 04:35; So;5;; Oldenburg (Oldb); Amalienstraﬂe;0;1;0;1;0;2;;;;;;2;7;799;1;;;;;71;;2021;9;26; du; na; RF; -; SO; absteigend;8,223205;53,138856
362; 27.09.2021; 09:30; Mo;5;; Oldenburg (Oldb); Marschweg;0;0;1;2;5;2;;0;9;;;3;3;341;28;;;;;40;71;2021;9;27; he; tr; LKW; RF; EK;;8,20479;53,128636
363; 28.09.2021; 11:55; Di;3;865; Oldenburg (Oldb); Donnerschweer Straﬂe;0;0;1;3;5;;;;;;;3;2;299;35;;49;;;71;71;2021;9;28; he; tr; RF; RF; AB;;8,214727;53,146675
364; 28.09.2021; 22:00; Di;5;; Oldenburg (Oldb); Rennplatzstraﬂe;0;0;0;2;1;3;;;;;;5;7;703;49;;;;;71;21;2021;9;28; du; tr; RF; PKW; SO;;8,247541;53,167769
365; 29.09.2021; 13:40; Mi;5;; Oldenburg (Oldb); Sch¸tzenweg;0;0;0;2;7;2;;;;;;5;7;731;48;;;;;71;21;2021;9;29; he; na; RF; PKW; SO;;8,187659;53,147225
366; 30.09.2021; 12:30; Do;5;; Oldenburg (Oldb); Bahnhofsallee;0;0;1;2;4;;;9;;;;3;6;682;13;;;;;72;72;2021;9;30; he; tr; RF; RF; LV; aufsteigend;8,236168;53,124767
367; 30.09.2021; 13:10; Do;5;; Oldenburg (Oldb); Katharinenstraﬂe;0;0;1;2;6;;;;;;;3;4;422;64;;;;;81;71;2021;9;30; he; tr; FG; RF; ‹S;;8,208419;53,143398
368; 30.09.2021; 15:20; Do;5;; Oldenburg (Oldb); Staugraben;0;0;1;2;5;2;;0;9;;;3;2;243;34;;;;;40;72;2021;9;30; he; tr; LKW; RF; AB;;8,215239;53,142605
369; 02.10.2021; 15:40; Sa;5;; Oldenburg (Oldb); Gerhard-Stalling-Straﬂe;0;0;0;2;1;;;;;;;5;7;703;49;;;;;71;21;2021;10;2; he; tr; RF; PKW; SO;;8,25272;53,114193
370; 04.10.2021; 12:50; Mo;5;; Oldenburg (Oldb); Katharinenstraﬂe;0;1;0;2;5;1;;;;;;2;7;711;36;;;;;21;71;2021;10;4; he; tr; PKW; RF; SO;;8,205264;53,143959
371; 04.10.2021; 16:25; Mo;5;; Oldenburg (Oldb); Schleusenstraﬂe;0;0;1;2;5;;;;;;;3;3;321;27;;;;;72;21;2021;10;4; he; tr; RF; PKW; EK; absteigend;8,21518;53,132285
372; 05.10.2021; 14:25; Di;5;; Oldenburg (Oldb); Marschweg;0;0;1;2;7;;;9;;;;3;7;732;49;;;;;71;59;2021;10;5; he; tr; RF; SOF; SO;;8,204419;53,131351
373; 06.10.2021; 21:14; Mi;3;870; Oldenburg (Oldb); Cloppenburger Straﬂe;0;0;1;2;5;3;;9;;;;3;3;342;37;;10;;;21;71;2021;10;6; du; na; PKW; RF; EK; absteigend;8,215318;53,118367
374; 07.10.2021; 10:45; Do;5;; Oldenburg (Oldb); Alter Postweg;0;0;0;2;1;;;;;;;5;7;703;49;;;;;21;71;2021;10;7; he; tr; PKW; RF; SO;;8,211395;53,102743
375; 07.10.2021; 11:40; Do;3;865; Oldenburg (Oldb); Donnerschweer Straﬂe;0;0;1;2;5;3;;9;;;;3;2;244;34;;10;;;21;71;2021;10;7; he; tr; PKW; RF; AB; aufsteigend;8,234444;53,150291
376; 07.10.2021; 12:50; Do;5;; Oldenburg (Oldb); Hauptstraﬂe;0;0;1;2;3;;;9;;;;3;6;651;22;;;;;71;72;2021;10;7; he; tr; RF; RF; LV; aufsteigend;8,200897;53,133753
377; 08.10.2021; 08:45; Fr;5;; Oldenburg (Oldb); Nordstraﬂe;0;0;0;2;5;2;;0;9;;;5;2;243;34;;;;;21;71;2021;10;8; he; tr; PKW; RF; AB;;8,22696;53,13683
378; 08.10.2021; 12:30; Fr;5;; Oldenburg (Oldb); Moslestraﬂe;0;0;0;2;5;3;;0;9;;;5;3;342;37;;;;;21;71;2021;10;8; he; tr; PKW; RF; EK;;8,219002;53,143925
379; 12.10.2021; 13:15; Di;3;865; Oldenburg (Oldb); Donnerschweer Straﬂe;0;0;0;2;5;2;;;;;;5;3;321;28;;;;;71;21;2021;10;12; he; na; RF; PKW; EK;;8,221989;53,14746
380; 12.10.2021; 13:20; Di;5;; Oldenburg (Oldb); Hauptstraﬂe;0;0;1;2;4;;;9;;;8;3;6;681;10;;;;;71;71;2021;10;12; he; na; RF; RF; LV; aufsteigend;8,193364;53,133083
381; 12.10.2021; 19:40; Di;5;; Oldenburg (Oldb); Stau;0;1;0;2;5;2;;0;9;;;2;3;341;31;;;;;21;71;2021;10;12; du; na; PKW; RF; EK;;8,218998;53,140371
382; 13.10.2021; 17:10; Mi;5;; Oldenburg (Oldb); Apenrader Straﬂe;0;0;1;2;1;;;;;;;3;5;581;45;;;;;21;71;2021;10;13; he; tr; PKW; RF; RV;;8,197647;53,166615
383; 14.10.2021; 10:00; Do;5;; Oldenburg (Oldb); Bahnhofsallee;0;0;1;2;5;3;;9;;;;3;3;342;37;;;;;71;71;2021;10;14; he; tr; RF; RF; EK;;8,237293;53,117579
384; 14.10.2021; 14:30; Do;5;; Oldenburg (Oldb); Scheideweg;0;0;0;2;1;3;;;;;;5;7;703;49;;;;;21;71;2021;10;14; he; tr; PKW; RF; SO;;8,213922;53,16843
385; 15.10.2021; 13:20; Fr;3;866; Oldenburg (Oldb); Stedinger Straﬂe;0;0;1;2;5;2;;0;9;;;3;2;243;34;;;;;21;72;2021;10;15; he; tr; PKW; RF; AB;;8,226118;53,134438
386; 16.10.2021; 15:20; Sa;5;; Oldenburg (Oldb); Rauhehorst;0;0;1;2;5;2;;9;;;;3;3;342;28;;10;;;21;71;2021;10;16; he; tr; PKW; RF; EK;;8,18905;53,164801
387; 18.10.2021; 05:45; Mo;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;1;;9;;;;3;3;342;28;;10;;;21;71;2021;10;18; du; tr; PKW; RF; EK; aufsteigend;8,209208;53,156969
388; 20.10.2021; 14:20; Mi;5;; Oldenburg (Oldb); Ammerl‰nder Heerstraﬂe;0;0;0;2;5;;;;;;;5;3;342;28;;;;;21;71;2021;10;20; he; na; PKW; RF; EK;;8,187762;53,145773
389; 28.10.2021; 16:30; Do;5;; Oldenburg (Oldb); Hausb‰ker Weg;0;0;1;1;0;2;;;;;;3;7;799;49;;;;;71;;2021;10;28; he; tr; RF; -; SO; aufsteigend;8,185374;53,12786
